ID,Mistake_Count
1,0
2,6
3,0
4,0
5,2
6,0
7,5
8,2
9,4
10,3
11,0
12,2
13,5
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,2
22,1
23,2
24,1
25,0
26,1
27,0
28,6
29,0
30,0
31,2
32,1
33,0
34,0
35,3
36,0
37,0
38,1
39,0
40,1
41,2
42,2
43,3
44,0
45,0
46,6
47,2
48,2
49,1
50,5
51,2
52,2
53,2
54,1
55,1
56,0
57,2
58,2
59,2
60,0
61,2
62,1
63,0
64,0
65,3
66,0
67,1
68,5
69,4
70,2
71,1
72,2
73,1
74,5
75,0
76,0
77,0
78,3
79,1
80,2
81,1
82,5
83,1
84,0
85,1
86,1
87,1
88,2
89,5
90,2
91,1
92,9
93,0
94,0
95,3
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,0
106,0
107,0
108,2
109,5
110,1
111,0
112,1
113,2
114,0
115,0
116,2
117,1
118,1
119,7
120,0
121,2
122,0
123,0
124,1
125,0
126,1
127,5
128,2
129,0
130,7
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,6
139,0
140,0
141,0
142,0
143,2
144,4
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,3
153,1
154,0
155,1
156,2
157,6
158,0
159,1
160,0
161,0
162,4
163,3
164,0
165,1
166,0
167,3
168,3
169,0
170,0
171,2
172,0
173,1
174,5
175,1
176,0
177,7
178,1
179,1
180,0
181,2
182,0
183,5
184,0
185,1
186,0
187,2
188,0
189,0
190,2
191,1
192,1
193,2
194,4
195,0
196,1
197,2
198,2
199,1
200,0
201,0
202,1
203,1
204,0
205,0
206,2
207,3
208,2
209,4
210,1
211,1
212,0
213,1
214,1
215,0
216,2
217,0
218,1
219,0
220,0
221,3
222,4
223,1
224,4
225,0
226,1
227,4
228,1
229,0
230,0
231,1
232,0
233,0
234,0
235,3
236,1
237,1
238,1
239,2
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,5
249,0
250,4
251,0
252,0
253,1
254,4
255,2
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,0
264,3
265,2
266,3
267,1
268,1
269,1
270,1
271,2
272,2
273,0
274,3
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,2
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,1
292,6
293,0
294,5
295,0
296,1
297,0
298,4
299,0
300,0
301,1
302,1
303,2
304,1
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,0
313,1
314,0
315,2
316,2
317,0
318,6
319,0
320,0
321,2
322,0
323,0
324,8
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,2
333,1
334,1
335,0
336,0
337,2
338,0
339,0
340,0
341,0
342,2
343,0
344,1
345,0
346,1
347,0
348,1
349,3
350,0
351,0
352,0
353,1
354,0
355,2
356,3
357,1
358,0
359,1
360,0
361,0
362,11
363,1
364,1
365,1
366,1
367,0
368,0
369,2
370,2
371,0
372,3
373,1
374,1
375,2
376,4
377,3
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,2
386,3
387,0
388,0
389,0
390,0
391,0
392,6
393,0
394,11
395,0
396,1
397,0
398,0
399,0
400,2
401,1
402,2
403,0
404,0
405,1
406,4
407,2
408,0
409,0
410,3
411,0
412,0
413,0
414,0
415,4
416,0
417,2
418,3
419,1
420,0
421,3
422,3
423,1
424,1
425,4
426,0
427,0
428,1
429,0
430,5
431,0
432,2
433,3
434,0
435,1
436,5
437,0
438,0
439,5
440,2
441,1
442,1
443,0
444,2
445,0
446,4
447,0
448,2
449,9
450,0
451,2
452,1
453,0
454,3
455,2
456,1
457,1
458,0
459,3
460,0
461,2
462,0
463,0
464,0
465,2
466,0
467,2
468,2
469,0
470,0
471,2
472,0
473,0
474,1
475,5
476,0
477,5
478,0
479,2
480,0
481,0
482,0
483,1
484,3
485,0
486,1
487,1
487,1
488,1
489,4
490,0
491,0
492,6
493,1
494,0
495,0
496,2
497,1
498,2
499,0
500,2
501,2
502,4
503,2
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,0
517,3
518,1
519,0
520,0
521,2
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,1
537,10
538,2
539,1
540,3
541,5
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,2
550,0
551,2
552,1
553,2
554,1
555,1
556,0
557,1
558,0
559,0
560,0
561,1
562,2
563,1
564,0
565,1
566,3
567,0
568,0
569,2
570,2
571,1
572,0
573,0
574,0
575,2
576,0
577,0
578,1
579,0
580,2
581,2
582,1
583,0
584,3
585,0
586,3
587,0
588,3
589,1
590,0
591,2
592,1
593,1
594,3
595,0
596,1
597,0
598,0
599,1
600,2
601,0
602,2
603,2
